,relative importance
covered area ratio of ETC (Q1),0.0369441628998086
covered area ratio of ETC (Q2),0.0317167605355269
perimeter-weighted neighbours of ETC (Q2),0.0234756497206171
mean inter-building distance (Q2),0.0166620523660334
area of ETC (Q3),0.016004502064894
area covered by node-attached ETCs (Q3),0.0148127579806641
longest axis length of ETC (Q2),0.0145009650171013
weighted reached enclosures of ETC (Q1),0.0141145285637235
reached area by neighbouring segments (Q3),0.0139998924383623
reached area by neighbouring segments (Q1),0.0139038842168188
mean distance between neighbouring buildings (Q3),0.0138803310996219
area covered by edge-attached ETCs (Q2),0.0137587267176893
area covered by edge-attached ETCs (Q3),0.01343685448545
area covered by neighbouring cells (Q2),0.0124058124712072
area of ETC (Q2),0.0123491262616644
mean distance between neighbouring buildings (Q2),0.011736689470447
weighted reached enclosures of ETC (Q3),0.0117276750079646
reached ETCs by local street network (Q1),0.0116729840016331
reached area by tessellation contiguity (Q2),0.0106508399372922
longest axis length of ETC (Q3),0.0103974648460589
openness of street profile (Q2),0.0098637777948951
mean inter-building distance (Q1),0.0098426129793641
perimeter-weighted neighbours of ETC (Q1),0.0095591324723849
covered area ratio of ETC (Q3),0.0094605560238566
reached ETCs by local street network (Q2),0.0094325547703474
area covered by edge-attached ETCs (Q1),0.0093531385668866
reached ETCs by neighbouring segments (Q2),0.0091769744307065
centroid - corner mean distance of building (Q3),0.0089671312030663
weighted reached enclosures of ETC (Q2),0.0087263021276135
reached area by tessellation contiguity (Q1),0.0085984614795039
perimeter of building (Q3),0.0082919816527223
buildings per meter of street segment (Q2),0.0081174030487022
area covered by node-attached ETCs (Q2),0.0080807132312017
cell alignment of building (Q2),0.0079992667880832
circular compactness of ETC (Q2),0.0079396522693439
circular compactness of building (Q2),0.0078862163445285
reached area by local street network (Q1),0.0077328245546909
mean distance to neighbouring nodes of street network (Q2),0.0075131816357082
circular compactness of building (Q1),0.0074279551719323
equivalent rectangular index of building (Q1),0.0072401878318169
buildings per meter of street segment (Q1),0.0071235393833053
cell alignment of building (Q1),0.007097839689735
local node density of street network (Q1),0.007061626404685
mean inter-building distance (Q3),0.0069938055426063
reached ETCs by local street network (Q3),0.0069042861484076
mean distance to neighbouring nodes of street network (Q3),0.0064666124434273
local degree weighted node density of street network (Q2),0.0064297511038411
Population (Q3),0.0063977761716241
reached area by neighbouring segments (Q2),0.0062819235482952
street alignment of building (Q1),0.0061840074011542
elongation of building (Q1),0.006119086149682
reached area by local street network (Q3),0.0060769864471772
local proportion of cul-de-sacs of street network (Q2),0.0060485899219888
local proportion of cul-de-sacs of street network (Q3),0.0059964047672987
area of building (Q3),0.0059936694909951
elongation of building (Q2),0.0059153504880582
centroid - corner mean distance of building (Q2),0.005911182440423
length of street segment (Q2),0.0059079557839149
reached ETCs by neighbouring segments (Q1),0.0057129880542793
perimeter of building (Q2),0.0057068709238617
length of street segment (Q3),0.0056939416423741
Population (Q2),0.0055528094982867
area covered by neighbouring cells (Q3),0.0053770573344549
buildings per meter of street segment (Q3),0.0053380799958549
local degree weighted node density of street network (Q1),0.0052753571705902
mean segment length within 3 steps (Q2),0.0050818914009251
mean segment length within 3 steps (Q1),0.0050554039711786
street alignment of building (Q2),0.0050390609685181
local meshedness of street network (Q2),0.0050219006108293
centroid - corner distance deviation of building (Q2),0.0049430055404405
mean segment length within 3 steps (Q3),0.0049424572223923
circular compactness of ETC (Q3),0.0049418840332754
openness of street profile (Q3),0.0047864230727718
compactness-weighted axis of enclosure (Q2),0.0047492680620522
local node density of street network (Q2),0.0047169863686782
area covered by neighbouring cells (Q1),0.0046918864476111
openness of street profile (Q1),0.0046452833051238
circular compactness of building (Q3),0.0046214063202664
perimeter-weighted neighbours of ETC (Q3),0.0044258330642253
area of building (Q2),0.0044120026302593
perimeter of enclosure (Q2),0.0043319316052788
reached area by local street network (Q2),0.0043113148515424
area of enclosure (Q2),0.0043044074874339
longest axis length of ETC (Q1),0.004263682825535
orientation of ETC (Q2),0.0042096049313901
reached ETCs by tessellation contiguity (Q2),0.0041457621780385
circular compactness of ETC (Q1),0.0040809001264992
Night lights (Q2),0.0039494572076459
local meshedness of street network (Q1),0.0039307818248562
Night lights (Q1),0.0038928437512379
reached area by tessellation contiguity (Q3),0.0037423298154118
orientation of building (Q2),0.0036924511159648
reached ETCs by neighbouring segments (Q3),0.0036022757597505
area covered by node-attached ETCs (Q1),0.0035760754569213
centroid - corner distance deviation of building (Q3),0.0035647853094222
cell alignment of building (Q3),0.0035463938651799
perimeter of enclosure (Q1),0.0034497769993026
mean distance to neighbouring nodes of street network (Q1),0.0034081271361499
linearity of street segment (Q2),0.0033982952774294
area of enclosure (Q1),0.0033810176713852
reached ETCs by tessellation contiguity (Q1),0.0033615892660015
NDVI (Q1),0.0033249617626425
area of ETC (Q1),0.0032812705050339
local cul-de-sac length of street network (Q2),0.0032148680688186
local closeness of street network (Q2),0.0031839912914944
orientation of ETC (Q1),0.0031418700467084
Population (Q1),0.003124804253895
local closeness of street network (Q3),0.003090329356099
local closeness of street network (Q1),0.0030888606724506
orientation of ETC (Q3),0.0030492443742629
centroid - corner distance deviation of building (Q1),0.0030439699123806
local proportion of cul-de-sacs of street network (Q1),0.0029478070164481
area of enclosure (Q3),0.0029361030878278
orientation of building (Q3),0.0029171531398071
orientation of building (Q1),0.0028724170339636
NDVI (Q3),0.002862988105
Night lights (Q3),0.0028379211555917
elongation of building (Q3),0.0028291592432139
squareness of building (Q2),0.0028040737595029
local meshedness of street network (Q3),0.0026988434175254
equivalent rectangular index of building (Q2),0.0026907543720939
equivalent rectangular index of ETC (Q2),0.0026566197193453
NDVI (Q2),0.0026299929560168
mean distance between neighbouring buildings (Q1),0.0025523891418832
local proportion of 4-way intersections of street network (Q2),0.0024579760318388
equivalent rectangular index of ETC (Q1),0.0024164653761022
street alignment of building (Q3),0.0024158825236646
orientation of enclosure (Q2),0.0024039423526471
local cul-de-sac length of street network (Q3),0.0023825084136673
width deviation of street profile (Q2),0.0023728499601099
local node density of street network (Q3),0.0023248799814959
local degree weighted node density of street network (Q3),0.0022242249631706
local cul-de-sac length of street network (Q1),0.0021478204351291
local proportion of 4-way intersections of street network (Q3),0.0020830350054904
centroid - corner mean distance of building (Q1),0.002077259301193
width deviation of street profile (Q3),0.0020762253693577
Workplace population [Other] (Q3),0.002055444070469
squareness of building (Q1),0.0020041355051051
equivalent rectangular index of enclosure (Q3),0.001993898557764
orientation of enclosure (Q1),0.0019634561671873
local proportion of 4-way intersections of street network (Q1),0.0019433161768767
"Workplace population [Financial, real estate, professional and administrative activities] (Q3)",0.0019216422967157
Workplace population [Construction] (Q3),0.0018850531003032
squareness of building (Q3),0.0018680180231214
width of street profile (Q1),0.0018616113269432
"Workplace population [Distribution, hotels and restaurants] (Q3)",0.001857164544896
orientation of enclosure (Q3),0.0018563694377405
width of street profile (Q2),0.0018159118805632
"Workplace population [Distribution, hotels and restaurants] (Q2)",0.0017971671385607
compactness-weighted axis of enclosure (Q1),0.0017747339795402
