,Wild countryside,Wild countryside,Countryside agriculture,Countryside agriculture,Gridded residential quarters,Gridded residential quarters,Accessible suburbia,Accessible suburbia,Connected residential neighbourhoods,Connected residential neighbourhoods,Urban buffer,Urban buffer,Open sprawl,Open sprawl,Warehouse/Park land,Warehouse/Park land,Local urbanity,Local urbanity,Dense residential neighbourhoods,Dense residential neighbourhoods,Disconnected suburbia,Disconnected suburbia,Dense urban neighbourhoods,Dense urban neighbourhoods,Regional urbanity,Regional urbanity,Metropolitan urbanity,Metropolitan urbanity,Concentrated urbanity,Concentrated urbanity,Hyper concentrated urbanity,Hyper concentrated urbanity
,name,rel. importance,name,rel. importance,name,rel. importance,name,rel. importance,name,rel. importance,name,rel. importance,name,rel. importance,name,rel. importance,name,rel. importance,name,rel. importance,name,rel. importance,name,rel. importance,name,rel. importance,name,rel. importance,name,rel. importance,name,rel. importance
0,longest axis length of ETC (Q1),0.1966091503906761,covered area ratio of ETC (Q1),0.15421217542417812,local closeness of street network (Q3),0.0954160307498819,weighted reached enclosures of ETC (Q3),0.0636899758229502,cell alignment of building (Q1),0.02848137244380362,area covered by neighbouring cells (Q2),0.0717798804103423,reached area by local street network (Q1),0.05834872621439615,elongation of building (Q1),0.03398641677270819,perimeter of building (Q2),0.10121780111308147,centroid - corner mean distance of building (Q2),0.036962477396246494,local proportion of cul-de-sacs of street network (Q2),0.023643415717269425,perimeter of building (Q2),0.10666270834541687,centroid - corner distance deviation of building (Q2),0.11537796200969591,equivalent rectangular index of building (Q2),0.11060460397030454,area of building (Q1),0.12823343075179447,covered area ratio of ETC (Q2),0.15412434316375506
1,covered area ratio of ETC (Q2),0.15111841724036393,covered area ratio of ETC (Q2),0.14427945077654505,local closeness of street network (Q2),0.0460070109418461,reached ETCs by tessellation contiguity (Q3),0.06206100935716119,local proportion of 4-way intersections of street network (Q2),0.022801028763181075,covered area ratio of ETC (Q2),0.049985682767158784,reached area by neighbouring segments (Q1),0.03378613010286878,centroid - corner mean distance of building (Q3),0.028037500616657322,equivalent rectangular index of building (Q1),0.09351787270829981,centroid - corner mean distance of building (Q3),0.03017205795063153,local meshedness of street network (Q3),0.021436342104087066,centroid - corner mean distance of building (Q2),0.0844844905053556,centroid - corner mean distance of building (Q2),0.08827542509614442,centroid - corner mean distance of building (Q2),0.08723577986622548,"Workplace population [Distribution, hotels and restaurants] (Q2)",0.09987217866016128,Workplace population [Manufacturing] (Q2),0.1436685256910403
2,covered area ratio of ETC (Q1),0.14575359912908464,mean inter-building distance (Q2),0.07892835583931133,perimeter of enclosure (Q1),0.04436871909357489,reached area by tessellation contiguity (Q2),0.04762812811979604,cell alignment of building (Q2),0.01736053548773831,mean distance to neighbouring nodes of street network (Q2),0.04881181272699465,area covered by node-attached ETCs (Q2),0.023547595072929764,elongation of building (Q2),0.025309863415753458,centroid - corner mean distance of building (Q2),0.0820404594446472,area of building (Q3),0.029425232209871987,local meshedness of street network (Q2),0.020519766194945353,perimeter of building (Q3),0.08220280322613675,squareness of building (Q3),0.08213022518153547,centroid - corner distance deviation of building (Q2),0.08068446205025988,"Workplace population [Financial, real estate, professional and administrative activities] (Q3)",0.07675056383922196,Workplace population [Other] (Q2),0.10167758183544033
3,area of ETC (Q2),0.09648479564935833,area of ETC (Q2),0.07297726151589737,area of enclosure (Q2),0.037296163854633135,area of ETC (Q2),0.045099883965729115,area of enclosure (Q2),0.01723199948751171,covered area ratio of ETC (Q1),0.046001980063752765,covered area ratio of ETC (Q2),0.022004211117834918,circular compactness of building (Q1),0.01959638396239336,squareness of building (Q3),0.05437473387547957,Population (Q3),0.02805124686424141,equivalent rectangular index of building (Q1),0.020273212370305486,area of building (Q2),0.06633102855483923,"Workplace population [Financial, real estate, professional and administrative activities] (Q3)",0.07119515122571819,corners of building (Q2),0.07191032602267461,Workplace population [Other] (Q2),0.0758444959091635,"Workplace population [Distribution, hotels and restaurants] (Q2)",0.08179635398028079
4,perimeter-weighted neighbours of ETC (Q3),0.07507828925492939,area covered by node-attached ETCs (Q2),0.0669159684926768,local closeness of street network (Q1),0.036697899069885874,reached ETCs by neighbouring segments (Q1),0.03686541233670913,orientation of ETC (Q2),0.016519135150633076,reached area by neighbouring segments (Q1),0.03829180108165543,local node density of street network (Q3),0.01882098320800627,centroid - corner distance deviation of building (Q2),0.01756830863237705,area of building (Q2),0.051383435897931984,perimeter of building (Q2),0.02599488783118587,circular compactness of building (Q1),0.019361433386462172,Population (Q3),0.03953752052994799,perimeter of building (Q2),0.06522291059091279,"Workplace population [Financial, real estate, professional and administrative activities] (Q3)",0.06020540785694402,"Workplace population [Distribution, hotels and restaurants] (Q3)",0.0705155251713111,covered area ratio of ETC (Q1),0.07916469321229744
5,reached area by neighbouring segments (Q1),0.048868976051823575,mean distance to neighbouring nodes of street network (Q2),0.06615048427167258,weighted reached enclosures of ETC (Q3),0.03170841588608165,reached ETCs by neighbouring segments (Q2),0.029903796302239005,equivalent rectangular index of building (Q1),0.016281133822110747,circular compactness of ETC (Q2),0.034692589155388455,reached area by neighbouring segments (Q2),0.018064742473698502,perimeter of building (Q3),0.01714692279733348,centroid - corner distance deviation of building (Q3),0.04497460948231802,area of building (Q2),0.022934531118435582,Population (Q1),0.017854840788283543,squareness of building (Q3),0.03926865293977077,perimeter of building (Q3),0.05786305010086652,"Workplace population [Distribution, hotels and restaurants] (Q2)",0.0510407483959195,"Workplace population [Financial, real estate, professional and administrative activities] (Q1)",0.06039604929053233,Workplace population [Manufacturing] (Q3),0.07453743293249264
6,reached area by tessellation contiguity (Q1),0.01828924669651052,reached area by neighbouring segments (Q1),0.0627759831512286,local proportion of 4-way intersections of street network (Q2),0.020616550103466646,reached ETCs by local street network (Q2),0.026219674072271777,local proportion of 4-way intersections of street network (Q1),0.014316771062198131,area covered by neighbouring cells (Q1),0.033081976053562064,covered area ratio of ETC (Q1),0.018035763365276323,width of street profile (Q2),0.01679035643800503,"Workplace population [Financial, real estate, professional and administrative activities] (Q3)",0.04401901018947947,perimeter of enclosure (Q1),0.020671779682774317,elongation of building (Q2),0.016114990336405,centroid - corner distance deviation of building (Q3),0.03440659123261984,area of building (Q2),0.050348720006568676,perimeter of building (Q2),0.04651140014281338,Workplace population [Manufacturing] (Q2),0.05466182457832326,centroid - corner mean distance of building (Q2),0.07036261908240934
7,area of ETC (Q3),0.01599102594075625,Land cover [Discontinuous urban fabric] (Q2),0.05544440799657606,area covered by node-attached ETCs (Q1),0.019211424193364243,perimeter-weighted neighbours of ETC (Q1),0.023718432301354758,perimeter of enclosure (Q1),0.014304765656340826,buildings per meter of street segment (Q2),0.03217515976507708,area of enclosure (Q2),0.017155691296570692,circular compactness of building (Q2),0.016305883626132864,"Workplace population [Distribution, hotels and restaurants] (Q2)",0.03514395213130343,orientation of enclosure (Q2),0.01763616866355178,reached area by neighbouring segments (Q2),0.015906916764655783,"Workplace population [Financial, real estate, professional and administrative activities] (Q3)",0.029292581988594746,"Workplace population [Distribution, hotels and restaurants] (Q2)",0.04896283553181749,squareness of building (Q3),0.03903543658252632,perimeter of building (Q2),0.04694074804051261,perimeter of building (Q2),0.0545419428718822
8,mean distance between neighbouring buildings (Q2),0.01501270930471888,perimeter-weighted neighbours of ETC (Q2),0.02190300484459469,area covered by node-attached ETCs (Q2),0.01832616753798506,reached area by tessellation contiguity (Q1),0.02282140276357279,local proportion of cul-de-sacs of street network (Q1),0.013747556224329004,reached area by tessellation contiguity (Q1),0.029531207338198768,compactness-weighted axis of enclosure (Q3),0.016709442953384387,reached area by tessellation contiguity (Q1),0.01624808238104824,perimeter of building (Q3),0.03369482956073785,perimeter of building (Q3),0.016561157422589106,area covered by edge-attached ETCs (Q3),0.015525538662755032,equivalent rectangular index of building (Q1),0.01754785589327312,corners of building (Q3),0.0292677244114832,"Workplace population [Financial, real estate, professional and administrative activities] (Q2)",0.029708225160558255,centroid - corner mean distance of building (Q2),0.04469352381587887,openness of street profile (Q2),0.03125756332807726
