type,form_sdbAre,form_sdbPer,form_sdbCoA,form_ssbCCo,form_ssbCor,form_ssbSqu,form_ssbERI,form_ssbElo,form_ssbCCM,form_ssbCCD,form_stbOri,form_sdcLAL,form_sdcAre,form_sscCCo,form_sscERI,form_stcOri,form_sicCAR,form_stbCeA,form_mtbAli,form_mtbNDi,form_mtcWNe,form_mdcAre,form_ltcWRE,form_ltbIBD,nodeID,form_sdsSPW,form_sdsSWD,form_sdsSPO,form_sdsLen,form_sssLin,form_ldsMSL,form_mtdDeg,form_lcdMes,form_linP3W,form_linP4W,form_linPDE,form_lcnClo,form_ldsCDL,form_xcnSCl,form_mtdMDi,form_lddNDe,form_linWID,edgeID_primary,form_stbSAl,form_sddAre,form_sdsAre,form_sisBpM,form_misCel,form_mdsAre,form_lisCel,form_ldsAre,form_ltcRea,form_ltcAre,form_ldeAre,form_ldePer,form_lseCCo,form_lseERI,form_lseCWA,form_lteOri,form_lteWNB,form_lieWCe,func_population,func_night_lights,func_workplace_abde,func_workplace_c,func_workplace_f,func_workplace_gi,func_workplace_hj,func_workplace_klmn,func_workplace_opq,func_workplace_rstu,func_corine_124,func_corine_211,func_corine_121,func_corine_421,func_corine_522,func_corine_142,func_corine_141,func_corine_112,func_corine_231,func_corine_311,func_corine_131,func_corine_123,func_corine_122,func_corine_512,func_corine_243,func_corine_313,func_corine_412,func_corine_321,func_corine_322,func_corine_324,func_corine_111,func_corine_423,func_corine_523,func_corine_133,func_corine_334,func_corine_132,func_corine_242,func_corine_411,func_corine_511,func_corine_312,func_corine_332,func_corine_521,func_corine_331,func_corine_244,func_corine_333,func_corine_222,ndvi,func_supermarkets_nearest,func_supermarkets_counts,func_listed_nearest,func_listed_counts,func_fhrs_nearest,func_fhrs_counts,func_culture_nearest,func_culture_counts,func_water_nearest,func_retail_centrenearest
Accessible suburbia,176.94913466222653,53.90269695676663,0.4768379451174293,0.5348561694915726,4.2538453658411655,0.7752724912878004,0.9877068491626664,0.6422713388428964,9.60487339003105,0.3643286980721215,19.55505287110157,50.83865978408642,1147.2534742433083,0.4725119056803347,0.9661700994745488,20.39945582460311,0.1862609708275852,7.384754633928312,5.313901944617105,17.815466201920035,0.0440661365700389,8620.10533193529,0.0001127954317595,21.97322871575346,26767.00555748117,28.37910407760411,3.302546059448506,0.4191405289355798,187.6112146374147,0.9282646728789496,2327.310770959913,2.873133785199968,0.0814548605160839,0.7425553478842181,0.0670384011092262,0.1890340571052513,2.0888802864450644e-06,228.5827857823988,0.0271809517027165,132.4881638583102,0.0199034858534777,0.0330535483811466,32602.73063546863,8.726684657122481,22426.3627785533,36496.96138771288,0.1102743958193797,49.08807211623402,113290.0605249824,166.98063247274652,451276.21279790025,36.80203833689869,60511.46460024595,242778.35216177508,2046.2913264195504,0.3951523787068027,0.847047143524452,515.7686282026796,19.24295433812532,0.008550981501088,36.318908377648285,4.511721784431814,11.017377932241605,0.0149045974278016,0.1231953959903676,0.1157948736110207,0.2103030768200188,0.0749135677443525,0.1474408609450384,0.4278844965935232,0.0600866769007277,9.361953947736908e-05,0.0018385364990896,0.003082532662565,4.280666286093206e-05,1.0647127164956587e-05,0.0036650380666928,0.0057234695910661,0.9791338544608108,0.0027104693568845,0.00055079221039,7.3797683037605585e-06,0.0001578827585959,5.0377551456071056e-05,9.572062185439645e-06,0.0001058034375679,0.000112481529581,5.297235987424576e-07,3.3400759029952333e-05,5.505338266362149e-05,9.348860536175447e-06,0.0011756168409559,0.0002103509081035,7.89226096480851e-05,0.0009759301902513,0.0,0.0,8.025587037322107e-06,4.5050695273530986e-05,0.0,1.1560295062974026e-05,7.4711990482061726e-06,0.0,9.12082853652131e-05,0.0,4.485587060867646e-07,1.8188306418007453e-06,0.2906534367777095,828.8222606486768,1.8905187915545016,744.223993819853,11.273578322616896,218.4607676566833,334.4349906018051,5384.638745900679,0.0591126862143012,542.6136609486987,849.4478707524687
Connected residential neighbourhoods,272.52222047358515,69.11996654764647,1.0698719007752011,0.4809406407730713,4.445514934004994,1.4664259246934184,0.9794153579353247,0.5554678123318881,12.406840284803524,0.7074939128649739,25.50140941231994,57.715226670177856,1517.813403268685,0.4828252882753099,0.967490992102892,24.93587614620716,0.1966668395739664,6.115773390983181,5.360088739479633,19.165441248955428,0.0395219505065084,11990.45514425692,0.0001168434187535,24.074215200657942,28831.20626709177,26.83663931948581,3.2727476181387702,0.4050277921066366,162.45118487434002,0.936100061506907,2374.38729620685,3.0006323119405574,0.114341091782491,0.7372404797066283,0.1220099768732944,0.1386012023954484,2.145291983396746e-06,163.7767327862935,0.0366342929904633,118.05842383145408,0.0189251071778249,0.03434911356986,35599.8462468151,7.53352643385139,14599.223469242334,24423.69035316454,0.0835161749018913,33.99163497414249,88462.7355515129,126.0673774448925,390719.3335212517,40.23508931072662,87537.6336175411,95677.02136203717,1360.8124327264104,0.3877598758832711,0.8711415344353484,344.7395158338596,25.61647755062377,0.0123632126222461,2.8198869276973717,8.574486471017403,19.989969350729396,0.0294518607214685,0.2915887767726673,0.2244706614785075,0.609762523426951,0.208256024927211,0.3992095367668568,0.9401782191356268,0.1518800968987943,0.0,0.0001997573519756,0.0177047767035135,2.5134495787823045e-05,6.22825134674618e-06,0.0023255252044192,0.0095514839979017,0.9493974361448462,0.00128977246324,0.0003111138366439,1.303865301311787e-07,0.0004136725095621,0.000398471365147,3.5781368016228055e-05,4.46785538908205e-05,7.625562022462056e-06,0.0,0.0002685423554713,1.5420259957547314e-05,0.0,0.0175761592583363,0.0001124595111009,0.0001544538966813,8.279870081699157e-05,0.0,0.0,0.0,0.0,2.799937402928551e-05,5.057847028726341e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.247132575243621,679.9589400980125,2.855979616610861,596.6136543164992,24.279145711884528,152.47992225726347,692.6640502647973,3946.0525170119554,0.129197070554807,555.9649416532345,536.4691549249377
Countryside agriculture,204.1004004473809,56.04898369837511,0.5058311308959964,0.5062746297926983,4.371156118284886,0.809087127096752,0.9777891584140948,0.6000645820828253,9.791868505606256,0.5569145576147124,20.57387809715172,220.29668567986573,31193.47756324737,0.3849739110469881,0.934726661740768,21.91564414263687,0.0741143412502185,11.488517685247356,8.447269495815393,111.3768819453694,0.0226921407404184,277883.9514182356,1.0392967631131544e-05,167.60146380885658,24275.47287070876,32.84089279714684,3.9100017726475063,0.8261769537764236,574.251150300761,0.9252358366615436,5884.249932318078,2.778342532439284,0.0583265021806219,0.7172647128401491,0.0415416274931488,0.2402877230333474,7.276338779690565e-07,636.0680519317857,0.0121340009684659,373.7351785678945,0.010008574843728,0.01540446247365,28875.7386346362,11.814765342318486,286081.33088618406,502883.465605982,0.0468478296529581,38.0750185528912,1591397.3908235745,110.8863135119817,5858316.879189188,46.23347583712083,2410926.403123621,3591565.145775475,7599.462746626992,0.4045722956436586,0.8435342011425871,1777.6586998509615,21.391120006493555,0.0052881647929847,746.2792596303725,1.913216276030404,1.389172670228216,0.0786387056228959,0.2189858075677233,0.0993140636771503,0.1908236663715896,0.0725402277614501,0.1325631569821482,0.2182644660007389,0.0542108907406464,0.0022971885026605,0.3494150167357971,0.0132298482416379,0.0003423097765081,0.0002215217312445,0.0154448732404742,0.0001350155013499,0.195799530480068,0.361131707611154,0.0202337345993868,0.0021056873930894,0.0002328506981681,0.0006778470876873,0.0009217628179476,0.0077034482344832,0.0094547957560195,0.0009295025195598,0.0033662107088047,0.0046708966735362,0.0008362834579052,1.6395887239399044e-05,0.0005038051938574,0.0002641899532702,0.000344135774593,0.0,0.0001493525471772,0.0015903677633581,0.0003498891006794,0.0002169438468328,0.0053741061385762,3.321157371739011e-05,5.824269554323738e-06,0.0001247333638791,7.923823417889881e-06,5.8564242779239024e-05,0.0018105148442198,0.481239965751762,4751.226429396625,0.0890422675142254,557.936276171538,11.223065979767986,725.690642944992,44.465529044079865,13156.203765060704,0.0038039679332004,304.4881805627052,4943.972106945474
Dense residential neighbourhoods,375.5982897524802,80.55847287038416,2.127339748843674,0.4725541757861817,4.69471438011118,1.8636204254062607,0.9699118915043494,0.5570538429020819,13.96141983158428,1.0707842313922558,16.41382195509911,64.45802078492677,1917.3133537528136,0.4786779601859069,0.9645765728147152,17.765760961442144,0.5210016386877587,6.518468334887211,5.392105311802543,20.841039722573107,0.0426045374549775,15619.35800671528,9.918446400567118e-05,26.479258486568774,26648.82622055173,26.290819807524034,3.5044554912953174,0.4287547974512103,153.65638552996404,0.9243520108930364,1992.4427683787635,2.8856979169144643,0.0957564351307268,0.7387477902198937,0.0912022508047587,0.1677910261189268,2.1577685416509677e-06,196.62871601795453,0.0306791959860214,112.4788997181888,0.0222919952292182,0.0386141868541775,32915.67945302154,8.248451320209362,14037.944403536823,25413.441458808466,0.0782136705711136,26.78955843457753,89313.7941414379,90.9269171580041,369240.02734425815,43.09701770662353,115962.62656100308,133719.2080765269,1693.6208133494135,0.3840168484848415,0.840191662700085,441.1621994897464,16.176328590815643,0.0199483075934837,3.0292246572038617,10.015774425227528,22.634471785832755,0.0668307245639096,0.6358370221244098,0.3299699374468643,1.1725917422126932,0.4075865273477492,0.7844649322907554,1.6695750483792962,0.2627472822037507,4.131271447970637e-05,0.0001930117010469,0.0535726324428456,7.45345730428302e-08,0.0002039612894155,0.0042546315064113,0.0110687958306134,0.8826895804152856,0.0015877181024189,0.0005916541758412,8.574130866061606e-07,0.0039050084027816,0.0006819378793595,6.910162367000025e-05,0.0,0.0,0.0,1.421747356630755e-05,3.0129067664565668e-05,0.0,0.0402733706375548,0.0002693574775172,0.0002507326888109,2.092959646104898e-05,0.0,2.773035001836681e-06,0.0,4.935993858002306e-05,0.0001956176021097,1.5677749103778371e-06,0.0,0.0,2.740245845152509e-05,0.0,4.264204651275586e-06,0.0,0.2338574962203697,661.7655942929764,3.12741156600138,506.6147149494468,37.47470482352848,144.02161719460085,860.9271019181515,3497.5111808681318,0.2591942812284416,483.124139480458,421.09352961269394
Dense urban neighbourhoods,588.3595591793343,107.36284858300208,5.034084199614849,0.4357143591920602,5.2082422983315375,3.2784193451083485,0.9504307517517948,0.5198209207971543,17.999101167825195,1.8779680650144044,20.643009403774737,73.55874201504282,2410.3249539184394,0.4692970945635408,0.9608185411256828,21.065372915490983,0.2731152750612299,5.612390472499163,5.169558985960907,21.127424438858103,0.0715797374579338,20375.373303559783,9.895882381629616e-05,27.37291317912676,29333.538788642585,24.83699320499183,3.451955336007122,0.4083173770505011,151.58124616100753,0.93277881226624,2113.579607974502,2.9398410896708285,0.108130056346813,0.7394400489053812,0.1129604724770103,0.1444372009111468,2.192987109954798e-06,170.89259110721582,0.0359086915133681,111.55142068852491,0.0211829314937558,0.0379685123091844,36610.4456458236,7.574751675871937,13513.861987814082,26111.44142938256,0.0664487460815123,21.55681118878172,97515.74040291883,74.35629640616546,416784.6751625472,45.60713928022969,152810.20803993265,105561.73844886376,1463.15971171972,0.3756637053353082,0.8563270462689595,397.3674651715032,20.880799110968542,0.0832656282683694,4.626456118993032,17.51845629073093,34.74282302407036,0.1130863703050093,1.0966618254606848,0.5561832354165862,2.29783667408587,0.8837732210239743,1.806823397430312,3.2078998933472014,0.5593115269007457,6.469748761262163e-05,1.2416595978043694e-05,0.0880046606045737,0.0,0.0002514457116454,0.0046878726627446,0.0102031001666914,0.7540990929658021,0.0005332991888833,0.0002828199708178,0.0,0.0093187338971982,0.0019512527527639,0.0003525199668942,0.0,0.0,0.0,0.0,0.0,0.0,0.1286059261303847,0.0001836690385326,0.0003921780980894,0.0,0.0,0.0,0.0,0.0,0.0009744576945999,0.0,0.0,0.0,8.185696847294252e-05,0.0,0.0,0.0,0.1875180996112603,587.2768098731178,4.436632002403686,350.89033856956274,62.78342208052347,106.08435823003472,1568.443596848501,2287.432198576511,0.4761175469052547,528.8501088011363,224.32671301651047
Disconnected suburbia,212.7139578363793,61.631662370382415,0.519371912010802,0.4915884621136572,4.347900169141407,1.0192932719299683,0.981779253652063,0.5737856216365137,11.114825731603116,0.5394065332454697,26.38883928056932,53.5491685316757,1259.025267183052,0.4906273992597933,0.9706154438961334,25.282200413956385,0.2211695170466645,8.075533321744249,5.673519092742893,18.6270464683288,0.0545299704346997,9503.5694686516,8.013366521977823e-05,22.0275692698648,26048.83199729488,27.650428825098164,3.711950314721381,0.435771663921816,150.5281363956412,0.9199390718003324,1707.5233700859765,2.6845007736512443,0.047280446664508,0.7053685978420692,0.0403644341127269,0.2530990641375556,2.052473274058937e-06,275.9641900070286,0.0148515875061573,111.68618369689332,0.0288768022319184,0.0435839201272242,31422.376249437908,9.984076135379516,15656.958650600822,26810.65299404559,0.0955802807236425,32.35258750027424,84060.32987175114,102.390541430843,316062.2470486025,39.568555768393246,63671.9776750138,282930.7716568204,2380.495781192246,0.4163440920162882,0.8303703688582705,567.7785849937333,27.07474613858178,0.0212028317252304,2137242.855003144,6.553853115098871,12.351181018154106,0.0210256304371868,0.2077835746664799,0.1799866029617019,0.3802326036938752,0.1318427716659904,0.2553890370003735,0.5896467579996914,0.0955246136853029,0.0,0.0004559034315873,0.0051595412179588,0.0,1.2800616313674455e-05,0.001525284482227,0.0046910331268313,0.9817827839939158,0.0009668642820706,0.0002636432338143,1.1622409943154591e-06,0.0004335027661082,5.897679224868956e-05,0.0,1.4763255136093588e-05,9.92374398022068e-05,0.0,6.297992527895734e-07,1.3513376305321792e-05,0.0,0.0044481517913399,1.0404704464809e-05,4.977782641127744e-05,2.808734278447429e-06,0.0,0.0,0.0,8.925925994553771e-06,0.0,2.909439410263169e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.2935658434989125,761.8583725161309,2.067314739738056,729.6085165659528,24.18125745767933,217.9456241308385,342.08172200249976,5831.523432571432,0.0779581980476371,523.0502403179796,725.5733822630431
Distilled urbanity,3713.379427112976,376.3003879612045,159.0876078533831,0.4251861040666592,12.484667165295438,18.589482098618845,0.776950410797251,0.5943144241972378,35.92779360917626,9.034681739700524,20.31891795374831,112.1178825072544,5708.231081281123,0.4645955401455212,0.9409914561860206,20.367338107965377,0.91236157449511,4.432562959948907,5.951611100837812,18.963729807408665,0.033780842683921,52023.0987667109,9.179922813487746e-05,22.725340956209013,62436.4,19.465633499205232,3.285472732156083,0.2781903204140296,108.89583381709772,0.936347354932399,1944.9433233930315,3.121830985915493,0.1356833766987843,0.7603767551014257,0.1502037962094094,0.0862972424776704,1.8459122524095544e-06,84.41488835947654,0.0319243097118863,86.37542926697425,0.0218794987999808,0.0427900529190645,80289.1338028169,7.839465423446675,13069.705590193184,33257.27288442686,0.0504705763252705,8.876356267431943,145420.68262323184,28.79042401313817,703631.5014481612,53.52112676056338,372984.2125640853,28859.851157864014,683.2744723442657,0.4401030409857103,0.905749748933256,144.74730757722685,20.22805483214331,0.0391059220192864,0.002762781906194,36.90873998889344,115.7029630711157,2.435564776776655,12.80307359329094,9.156058018198204,54.16012165465529,39.5148233680834,258.67262366320136,41.69852015408434,23.06139398365974,0.0,0.0,0.0,0.0,0.0,0.0,0.0324157934858806,0.0571311393084851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9008123924522934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0096406745319914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0284510609126496,229.9030959645208,22.51056338028169,31.73222815092181,685.156338028169,16.21904994282924,6297.607746478873,702.7508804885434,10.39225352112676,565.2482029444174,29.803442466927983
Gridded residential quarters,283.892607360146,69.66724505978495,0.7490262765589407,0.4917544493078647,4.506685365197679,1.663150646769724,0.9768415513178036,0.5845477598262648,12.4118047795266,0.7990015599056376,23.12699935993656,52.89301742472141,1251.5433904702263,0.4829169502319483,0.969063829776508,23.06282240159424,0.2278000032114629,5.481542162592541,4.930499845885387,16.47656051896989,0.0435535690522433,9962.174673253789,0.0001789545172945,21.34477037696555,22561.07813101341,24.271424116331588,3.8697816749568097,0.3817226328795495,126.02061085119531,0.9407230912082164,1950.070248722897,3.0444345194258484,0.1316953646174377,0.7202672223154715,0.1618976068536425,0.1157782508249231,3.9828293801998766e-06,133.12603480530777,0.038036777546283,92.1899676472056,0.0228142957186153,0.0434649879620833,27914.363824257485,6.948853771854095,9488.10680490363,17094.766074575517,0.0879757707144238,26.76040002004327,64059.40223803175,99.86585946890254,296524.51550394186,42.04396888823426,73335.07267972677,110195.64652899558,1150.5815668316527,0.4074714843023245,0.888518108260596,289.8079247346277,23.04186176916075,0.0177443261969202,0.4316664330380098,7.740387776452327,15.16793039440496,0.0284182412358441,0.3551275308077309,0.2029926427292023,0.7262223150692719,0.1820906746777699,0.3809073147791496,0.9817347474743916,0.1700486637443541,0.0,0.0001987040759361,0.0040021002252089,6.235011685974223e-05,9.021045286164444e-05,0.0005812647056836,0.0048129903535034,0.9179825892671716,0.0004471083184635,5.950026064989584e-05,0.0,0.0017892214934219,0.0,2.6678791313211823e-05,1.425401605365564e-05,0.0,2.3725134251274256e-06,0.0001031481472056,0.0001683567903832,0.0,0.0683300439351464,0.0006237731978027,0.0002272362673245,0.0004607106255647,0.0,0.0,0.0,0.0,0.0,1.2275800668595567e-05,0.0,0.0,5.11055655540542e-06,0.0,0.0,0.0,0.2093743295327551,577.6839736847346,3.4099027400970225,516.1973755744547,31.771826462105697,129.24420359926762,1081.376510331786,4094.91525338444,0.2405032617940104,522.0874337154645,445.5189715534137
Hyper distilled urbanity,3358.0995863282224,330.8185760603876,90.81954394532146,0.4462923441431246,9.2734375,22.513954044127143,0.8028924884988298,0.6176686592005094,37.22019894065469,7.6969095446501665,26.259454984394345,126.57607526015988,8654.321734629206,0.4745509215429727,0.9534637251174396,25.96208576376592,0.6092936004671753,2.7245849289909527,6.547985696413889,22.95152347177053,0.0363425530748309,61122.40297107076,0.0001305464221165,23.73789942960305,54873.95149253732,17.467264317201167,2.851899774541849,0.2223500907737267,93.90190297048976,0.971903401310243,2057.699403925206,3.328358208955224,0.1655763283870982,0.7045465434576248,0.2304149069579044,0.0616950237869796,2.3762718275231275e-06,75.10560933482542,0.0422757130052464,81.24484762797555,0.0198907706419084,0.0421291945336637,71898.36940298507,6.229446792845572,20051.56831420124,38566.99461358065,0.0470065963477661,8.572360095575412,151507.3474653292,26.99680967551673,621126.1006601141,48.46268656716418,306427.8789351658,31788.406299711176,538.8741389085804,0.446962096339172,0.9412857469598755,120.12620423071262,24.926916720410752,0.0802968868512928,0.004669356403232,37.931928868135465,183.23454118611343,1.4103069109248705,20.14165715112658,10.680056374438411,152.3106602425007,97.90335034884238,172.75483975160972,30.821295508376256,38.1640338456153,0.0,0.0,0.0,0.0090735016036178,0.0,0.0,0.0,0.0,0.0163720689968918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.973880597858931,0.0006738322642579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003012480186518,324.4163115629509,18.791044776119403,69.74923567273724,1142.5671641791046,14.10126850854105,9213.14552238806,351.3251095707737,34.19776119402985,759.6042079450393,32.54466921088692
Local urbanity,823.3542851861695,135.54391921859545,12.666728877838542,0.4093096821699913,6.014238984029248,5.071848477800074,0.9190849785020744,0.506414517439362,20.71150012595156,2.9767806824937844,20.78306815808133,80.14291290780436,2696.3986955268992,0.4629200009224932,0.9535332511269788,21.21527619452032,0.5952357835612928,5.638053956407608,5.670398601341272,20.61722629558893,0.1120945066073814,22892.041577148608,9.399486396992498e-05,26.2845785776305,36092.83839523081,24.55862603186521,3.6006631259575133,0.4078366623086969,143.14322124977966,0.9244072653871432,2011.4178965920407,2.9399822766454524,0.1080755611840296,0.7512648319204186,0.1069822989920234,0.1385871240499841,2.1508120735655057e-06,167.72094185741398,0.0343035538250378,106.90064794673012,0.0216824292268691,0.0391418936701507,45531.52630306936,8.05127510030748,11878.660939641506,25905.747716390983,0.0589669077845563,16.973816448995766,100616.055552734,56.16897167029887,439804.0863234621,47.29122693949891,173857.47953013124,83656.67107800438,1299.3213906658716,0.3857867468899674,0.8518109494839915,345.6398840793977,21.09028439918568,0.1170371638836072,0.1366301360189835,28.87485704011236,51.188541071187565,0.1775481147222215,1.3227744283298628,0.8011101367808521,4.156450847385101,1.957960443947498,4.8891571529749145,5.714530231974197,1.1384342776261387,0.0,0.0,0.0919158002421586,0.0,1.803222764481803e-05,0.0028521868193906,0.0066059955535275,0.6335145898925171,7.003409710733635e-05,0.0001946902130917,0.0,0.0146537426921001,0.0018225570978505,0.0003748040514938,0.0,0.0,0.0,0.0,0.0,0.0,0.2453622954585225,0.0002727336588079,0.0002958016060587,1.2817484600067685e-07,0.0,0.0,0.0,0.0,0.0016435425070653,0.0,0.0,0.0,0.0004030657196517,0.0,0.0,0.0,0.1639416452534106,483.0178623034698,6.848327214556168,216.85859903647815,140.03107341381732,82.46896055294452,2167.909990677976,1273.226897254227,1.129622170305325,507.7064571517104,161.85498947283378
